subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
2	2.000	1.000	67.000	572.000	747.159	749.712	750.274	nan	nan	8,8,	751.439,751.801,	8.000	753.276	-107.000	107.000	-214.000	214.000	1.576	0.563	2.469	
2	2.000	1.000	68.000	572.000	755.771	757.744	759.406	nan	nan	9,9,9,9,9,	760.179,760.524,760.803,761.067,761.315,	9.000	762.408	-107.000	214.000	-321.000	107.000	0.997	1.662	3.132	
2	2.000	1.000	69.000	572.000	765.569	767.105	768.530	nan	nan	9,9,9,9,9,9,	768.786,769.050,769.289,769.522,769.751,769.956,	9.000	771.532	-428.000	428.000	-214.000	214.000	0.563	1.426	2.109	
2	2.000	1.000	70.000	572.000	773.669	775.867	776.632	nan	nan	9,9,9,9,9,9,	777.198,777.482,777.721,777.951,778.185,778.408,	9.000	779.634	-428.000	321.000	-214.000	107.000	1.223	0.765	3.383	
2	2.000	1.000	71.000	572.000	783.038	784.856	785.727	nan	nan	8,8,8,8,8,	785.948,786.238,786.500,786.783,787.047,	8.000	788.729	-214.000	214.000	-107.000	428.000	0.838	0.871	3.061	
2	2.000	1.000	72.000	572.000	791.814	794.257	795.899	nan	nan	8,8,8,	796.170,796.441,796.702,	8.000	798.901	-428.000	107.000	-107.000	214.000	1.465	1.643	3.280	
2	2.000	1.000	73.000	572.000	802.220	804.864	806.232	nan	nan	8,8,8,8,	807.172,807.465,807.699,807.959,	8.000	809.233	-321.000	214.000	-428.000	428.000	1.682	1.368	3.961	
2	2.000	1.000	74.000	572.000	813.223	815.556	816.407	nan	nan	9,9,9,9,	817.393,817.703,817.968,818.217,	9.000	819.409	-214.000	428.000	-428.000	214.000	1.359	0.852	2.932	
2	2.000	1.000	75.000	572.000	822.368	824.153	825.824	nan	nan	8,8,8,8,	826.681,827.028,827.327,827.631,	8.000	828.826	-428.000	-214.000	-107.000	-214.000	0.809	1.672	3.685	
2	2.000	1.000	76.000	572.000	832.541	834.023	835.236	nan	nan	8,8,8,8,	835.759,836.196,836.482,836.753,	8.000	838.237	-321.000	428.000	-107.000	321.000	0.510	1.214	3.904	
2	2.000	1.000	77.000	572.000	842.185	844.116	845.773	nan	nan	9,9,9,9,	846.245,846.533,846.980,847.188,	9.000	848.774	-321.000	428.000	-107.000	214.000	0.973	1.658	3.833	
2	2.000	1.000	78.000	572.000	852.634	854.539	856.485	nan	nan	8,8,8,8,8,	856.877,857.208,857.504,857.789,858.034,	8.000	859.487	-107.000	107.000	-321.000	321.000	0.929	1.947	3.627	
