subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3
1	2	1	16	666.389	270.623	273.564	274.439	nan	nan	9,9,9,	275.187,275.495,275.801,	9	277.441	81.75	223.87	54.64	122.32	1.952	0.876	3.26
1	2	1	17	666.389	280.714	283.058	284.493	nan	nan	9,9,	284.963,285.284,	9	287.495	66.83	183.02	44.67	122.32	1.354	1.436	2.199
1	2	1	18	666.389	289.707	292.151	293.408	nan	nan	9,9,	294.692,294.979,	9	296.41	66.83	183.02	44.67	149.62	1.455	1.257	2.36
1	2	1	19	666.389	298.783	301.661	302.383	nan	nan	8,	303.455,	8	305.384	54.64	183.02	44.67	149.62	1.889	0.722	3.087
1	2	1	20	666.389	308.484	310.663	312.209	nan	nan	9,9,	313.342,313.593,	9	315.211	81.75	223.87	66.83	122.32	1.19	1.547	3.151
1	2	1	21	666.389	318.376	321.162	322.076	nan	nan	9,9,9,	322.694,322.970,323.269,	9	325.078	81.75	149.62	44.67	183.02	1.797	0.915	3.177
1	2	1	22	666.389	328.268	330.466	331.742	nan	nan	9,9,9,	332.518,332.845,333.191,	9	334.744	66.83	149.62	44.67	122.32	1.209	1.277	3.73
1	2	1	23	666.389	338.488	340.058	340.601	nan	nan	9,9,9,	341.933,342.235,342.519,	9	343.603	66.83	223.87	54.64	122.32	0.582	0.543	2.309
1	2	1	24	666.389	345.926	347.819	348.459	nan	nan	9,9,	350.065,350.372,	9	351.46	81.75	149.62	54.64	183.02	0.905	0.64	2.341
1	2	1	25	666.389	353.815	355.477	356.459	nan	nan	8,8,8,	357.858,358.165,358.450,	8	359.466	122.32	149.62	223.87	149.62	0.674	0.982	3.814
1	2	1	26	666.389	363.294	365.728	367.023	nan	nan	9,9,9,	367.713,368.006,368.290,	9	370.025	66.83	223.87	54.64	183.02	1.445	1.296	2.566
1	2	1	27	666.389	372.605	374.397	376.199	nan	nan	9,9,	377.540,377.819,	9	379.2	66.83	223.87	44.67	122.32	0.804	1.802	2.63
1	2	1	28	666.389	381.845	384.331	386.186	nan	nan	9,9,	386.881,387.193,	9	389.188	81.75	149.62	44.67	223.87	1.498	1.855	3.781
1	2	1	29	666.389	392.984	395.74	397.431	nan	nan	9,9,	398.538,398.855,	9	400.433	81.75	149.62	66.83	122.32	1.768	1.691	3.003
1	2	1	30	666.389	403.451	406.192	407.705	nan	nan	9,9,9,9,	408.729,408.966,409.197,409.550,	9	410.707	81.75	223.87	44.67	122.32	1.754	1.513	2.373
1	2	1	31	666.389	413.096	414.997	416.133	nan	nan	9,9,9,	417.445,417.710,417.952,	9	419.134	54.64	223.87	44.67	122.32	0.915	1.137	3.839
1	2	1	32	666.389	422.989	425.373	426.823	nan	nan	9,9,9,	427.070,427.328,427.576,	9	429.825	54.64	149.62	44.67	122.32	1.397	1.45	3.91
1	2	1	33	666.389	433.75	436.375	437.844	nan	nan	8,8,8,	438.695,439.179,439.398,	8	440.846	81.75	223.87	66.83	149.62	1.638	1.469	3.029
1	2	1	34	666.389	443.891	445.377	446.239	nan	nan	8,	448.177,	8	449.24	81.75	223.87	54.64	183.02	0.5	0.862	3.228
1	2	1	35	666.389	452.486	455.302	456.694	nan	nan	9,9,9,	457.043,457.291,457.522,	9	459.696	81.75	183.02	44.67	122.32	1.831	1.392	3.865
1	2	1	36	666.389	463.578	466.477	468.293	nan	nan	8,8,	469.457,470.136,	8	471.294	66.83	223.87	44.67	183.02	1.913	1.817	3.293
1	2	1	37	666.389	474.603	476.114	477.877	nan	nan	8,8,	479.480,479.733,	8	480.878	54.64	223.87	44.67	183.02	0.524	1.764	2.804
1	2	1	38	666.389	483.699	485.904	486.572	nan	nan	8,8,8,	487.460,487.773,488.037,	8	489.574	54.64	122.32	81.75	149.62	1.219	0.669	2.424
1	2	1	39	666.389	492.014	494.195	495.76	nan	nan	9,9,9,	496.290,496.574,496.818,	9	498.762	66.83	149.62	54.64	223.87	1.195	1.566	3.093
1	2	1	40	666.389	501.872	504.438	505.666	nan	nan	8,8,8,	506.318,506.596,506.861,	8	508.668	44.67	223.87	81.75	149.62	1.58	1.228	2.514
1	2	1	41	666.389	511.198	514.16	514.737	nan	nan	9,9,	516.343,516.600,	9	517.739	54.64	183.02	44.67	223.87	1.976	0.577	3.241
1	2	1	42	666.389	520.998	522.758	524.169	nan	nan	8,8,8,8,	525.000,525.301,525.563,525.853,	8	527.171	54.64	122.32	44.67	223.87	0.775	1.412	3.402
1	2	1	43	666.389	530.59	532.162	533.361	nan	nan	8,8,8,	534.194,534.472,534.740,	8	536.363	81.75	122.32	54.64	183.02	0.587	1.199	3.968
1	2	1	44	666.389	540.348	543.198	545.183	nan	nan	9,9,9,9,	545.460,545.686,545.929,546.206,	9	548.184	54.64	149.62	44.67	183.02	1.865	1.986	2.347
1	2	1	45	666.389	550.549	553.534	555.042	nan	nan	8,8,8,	555.385,555.673,555.990,	8	558.043	44.67	183.02	81.75	149.62	2	1.508	3.543
1	2	1	46	666.389	561.604	563.46	564.057	nan	nan	9,	565.931,	9	567.058	81.75	149.62	66.83	183.02	0.871	0.596	3.466
1	2	1	47	666.389	570.542	572.471	573.004	nan	nan	9,9,9,9,	573.850,574.174,574.474,574.862,	9	576.006	66.83	183.02	54.64	223.87	0.944	0.534	3.338
1	2	1	48	666.389	579.361	582.042	582.72	nan	nan	8,8,	583.073,584.686,	8	585.722	44.67	122.32	66.83	223.87	1.696	0.678	3.608
1	2	1	49	666.389	589.348	590.977	591.592	nan	nan	8,8,	593.102,593.416,	8	594.594	81.75	122.32	44.67	183.02	0.645	0.616	3.897
1	2	1	50	666.389	598.51	601.296	602.779	nan	nan	8,8,8,	604.129,604.444,604.726,	8	605.781	44.67	183.02	81.75	183.02	1.802	1.484	2.232
1	2	1	51	666.389	608.03	610.909	612.493	nan	nan	9,9,9,9,	613.158,613.446,613.725,614.190,	9	615.495	66.83	149.62	44.67	223.87	1.894	1.585	3.807
1	2	1	52	666.389	619.321	620.819	622.351	nan	nan	9,9,9,9,9,	622.844,623.118,623.388,623.758,624.085,	9	625.353	81.75	149.62	54.64	223.87	0.514	1.532	2.09
1	2	1	53	666.389	627.462	629.741	630.959	nan	nan	8,8,8,8,8,	631.151,631.408,631.716,632.042,632.350,	8	633.961	54.64	122.32	66.83	223.87	1.296	1.219	3.305
